id,referencia,marca,capacidad,ciudad,responsable
1791,ACH43,sony,701,jardin,mauro yepes
6681,ACH01,rico,1801,itagui,andres gallego
1398,ACH43,kalley,1533,pintada,santiago posada
5803,ACH22,rico,455,itagui,camila builes
73,ACH22,sony,1035,medellin,mauro yepes
4253,ACH43,sony,1995,jardin,mauro yepes
1635,ACH22,sony,1853,jardin,santiago posada
5696,ACH01,rico,681,itagui,santiago posada
3773,ACH01,sony,1726,medellin,camila builes
7910,ACH01,kalley,1865,,israel alzate
1286,ACH01,sony,413,jardin,israel alzate
6605,ACH01,kalley,1092,itagui,andres gallego
6795,ACH22,sony,621,itagui,camila builes
4741,ACH01,kalley,1199,jardin,camila builes
6462,ACH01,sony,600,itagui,andres gallego
5417,ACH43,sony,558,medellin,santiago posada
9576,ACH43,sony,234,medellin,israel alzate
6344,ACH01,rico,794,,mauro yepes
4073,ACH22,kalley,1096,pintada,israel alzate
4509,ACH22,kalley,1613,pintada,camila builes
7611,ACH01,kalley,483,medellin,mauro yepes
1284,ACH01,sony,1752,medellin,israel alzate
1915,ACH01,rico,1280,,mauro yepes
9698,ACH01,rico,536,pintada,camila builes
6004,ACH01,rico,292,,mauro yepes
244,ACH43,kalley,1975,itagui,israel alzate
5614,ACH43,sony,289,jardin,santiago posada
1405,ACH22,kalley,1343,jardin,santiago posada
5587,ACH01,rico,1459,medellin,camila builes
797,ACH22,rico,1030,pintada,israel alzate
8365,ACH01,kalley,514,pintada,mauro yepes
5581,ACH43,rico,454,medellin,camila builes
487,ACH01,sony,766,pintada,andres gallego
4218,ACH22,kalley,245,itagui,camila builes
7625,ACH43,sony,1565,medellin,mauro yepes
6116,ACH01,kalley,1484,itagui,santiago posada
3309,ACH01,kalley,794,itagui,mauro yepes
9999,ACH43,kalley,1485,pintada,mauro yepes
7576,ACH01,rico,753,medellin,santiago posada
7994,ACH43,kalley,776,jardin,israel alzate
7398,ACH43,rico,1095,medellin,andres gallego
5160,ACH43,rico,421,itagui,santiago posada
2228,ACH43,rico,1584,jardin,santiago posada
5300,ACH43,rico,1232,pintada,camila builes
2758,ACH43,rico,703,medellin,mauro yepes
2649,ACH01,sony,1364,pintada,israel alzate
2021,ACH43,rico,733,medellin,santiago posada
1451,ACH43,rico,1257,jardin,santiago posada
9550,ACH43,sony,1704,jardin,camila builes
7137,ACH43,rico,1805,jardin,santiago posada
6692,ACH01,kalley,861,,santiago posada
936,ACH01,sony,375,medellin,santiago posada
8539,ACH01,sony,1169,jardin,mauro yepes
3951,ACH43,kalley,1343,medellin,camila builes
5869,ACH01,kalley,965,,santiago posada
5409,ACH43,kalley,1047,medellin,camila builes
6595,ACH43,rico,1505,medellin,israel alzate
9727,ACH43,rico,1705,medellin,israel alzate
72,ACH22,sony,1851,,israel alzate
5352,ACH43,sony,1336,itagui,israel alzate
9446,ACH43,kalley,996,jardin,mauro yepes
3390,ACH01,sony,511,medellin,israel alzate
5734,ACH22,kalley,1128,,andres gallego
6975,ACH01,rico,1449,medellin,santiago posada
3386,ACH01,sony,1612,jardin,andres gallego
4653,ACH01,sony,1061,medellin,santiago posada
